username,email,firstName,lastName,countryCode,phone,teams
trevdawg2,josh+tl@victorops.com,Trevin,Lica,91,5555555555,"North Face:member,mountain hardwear:team_admin,patagonia:member, sre:member, SRE:member"
spaz2,josh+as@victorops.com,Andrew,Spas,1,5555555555,"Black Diamond:team_admin,patagonia:member"
jerbear2,josh+jn@victorops.com,Jeremy,Neuman,91,5555555555,North Face:member
bravo2,josh+ab@victorops.com,Aaron,Bravo,91,5555555555,Nike:member
soltiii2,josh+es@victorops.com,Emrick,Soltis,1,5555555555,"Nike:member,North Face:member"
dorfman2,josh+zd@victorops.com,Zach,Dorfman,1,5555555555,"patagonia:member,mountain hardwear:member"
noodle2,josh+jh@victorops.com,joel,haines,1,5555555555,gshock:member
lurch2,josh+cm@victorops.com,connor,mcmillen,1,5555555555,gshock:member
ginger2,josh+kt@victorops.com,kevin,tayon,1,5555555555,gshock:member
smileymcsmileface2,josh+dk@victorops.com,dylan,klausing,1,5555555555,"patagonia:member,North Face:member"
wojnar2,josh+kw@victorops.com,karl,wojnar,1,5555555555,"patagonia:member,new_team:team_admin,North Face:member"
thebird2,josh+lk@victorops.com,lindsey,kline,1,5555555555,Nike:member
benjy2,josh+bk@victorops.com,ben,kurzman,1,5555555555,Nike:member
lefky3,josh+al@victorops.com,adam,lefkowitz,1,5555555555,patagonia:member
